hospital_id,city,symptom,predicted_disease,specialization,consultation_fee,estimated_meds_cost,total_estimated_cost,wait_time_mins,hospital_rating,doctor_exp_years,languages,distance_km,insurance_accepted,match_score
HOSP_0057,Mumbai,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,500,839,1339,55,3.9,29,"English, Hindi",7.4,1,72
HOSP_0058,Hyderabad,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,800,1881,2681,49,4.7,20,"English, Tamil",18.3,1,61
HOSP_0059,Vijayawada,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,250,1176,1426,19,3.5,3,"English, Hindi",12.3,0,70
HOSP_0060,Mumbai,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,200,3174,3374,41,4.4,3,"English, Telugu",1.4,1,80
HOSP_0061,Delhi,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,800,1968,2768,17,4.3,7,"English, Hindi, Telugu",23.6,0,76
HOSP_0062,Vijayawada,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,200,2201,2401,15,4.9,15,"English, Kannada",6.1,1,91
HOSP_0063,Chennai,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,250,549,799,48,4.2,5,"English, Tamil",8.0,0,64
HOSP_0064,Delhi,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,200,923,1123,61,4.1,7,"English, Hindi, Telugu",16.2,0,98
HOSP_0065,Mumbai,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,1000,1629,2629,44,4.3,21,"English, Telugu",9.0,1,83
HOSP_0066,Vijayawada,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,250,2428,2678,19,4.7,12,"English, Hindi",12.6,1,83
HOSP_0067,Mumbai,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,1000,2400,3400,80,4.0,13,"English, Tamil",6.4,1,82
HOSP_0068,Vijayawada,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,500,659,1159,18,4.0,5,"English, Tamil",13.1,0,78
HOSP_0069,Hyderabad,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,250,903,1153,56,3.8,23,"English, Hindi",13.6,1,93
HOSP_0070,Vijayawada,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,250,2136,2386,41,3.6,27,"English, Hindi",17.4,1,76
HOSP_0071,Chennai,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,200,2355,2555,66,3.8,26,"English, Telugu",19.1,1,61
HOSP_0072,Mumbai,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,1000,3046,4046,70,3.7,5,"English, Tamil",13.5,1,97
HOSP_0073,Bangalore,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,200,1954,2154,42,3.5,27,"English, Hindi",5.7,1,84
HOSP_0074,Hyderabad,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,500,2372,2872,82,4.0,11,"English, Hindi, Telugu",12.2,1,81
HOSP_0075,Kadapa,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,200,3095,3295,56,3.9,8,"English, Kannada",16.3,1,65
HOSP_0076,Delhi,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,200,1760,1960,36,3.8,8,"English, Kannada",21.3,1,89
HOSP_0077,Kadapa,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,300,542,842,45,4.1,6,"English, Telugu",14.6,0,74
HOSP_0078,Vijayawada,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,1000,1246,2246,76,4.9,17,"English, Tamil",14.5,1,64
HOSP_0079,Vijayawada,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,500,2110,2610,34,3.9,17,"English, Hindi",15.5,1,96
HOSP_0080,Kadapa,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,500,3192,3692,17,3.6,20,"English, Telugu",13.9,1,61
HOSP_0081,Mumbai,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,500,620,1120,77,4.5,19,"English, Hindi",15.1,1,94
HOSP_0082,Hyderabad,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,1000,535,1535,64,3.7,26,"English, Tamil",23.5,1,94
HOSP_0083,Vijayawada,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,500,2155,2655,86,4.7,7,"English, Kannada",4.5,1,64
HOSP_0084,Bangalore,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,1000,2921,3921,18,4.0,12,"English, Hindi",17.2,1,99
HOSP_0085,Hyderabad,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,1000,2188,3188,37,4.2,3,"English, Hindi",9.2,1,61
HOSP_0086,Bangalore,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,300,497,797,20,4.0,21,"English, Telugu",3.9,1,88
HOSP_0087,Chennai,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,1000,1554,2554,41,4.7,8,"English, Hindi",8.1,1,92
HOSP_0088,Vijayawada,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,250,816,1066,88,4.0,8,"English, Hindi, Telugu",3.2,0,83
HOSP_0089,Kadapa,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,800,2394,3194,82,4.6,4,"English, Tamil",16.2,1,95
HOSP_0090,Bangalore,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,300,2416,2716,34,3.8,12,"English, Telugu",23.7,1,72
HOSP_0091,Delhi,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,200,1939,2139,74,4.4,14,"English, Kannada",23.0,1,96
HOSP_0092,Delhi,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,500,2228,2728,65,4.6,10,"English, Hindi",23.2,1,96
HOSP_0093,Mumbai,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,1000,2767,3767,68,4.8,3,"English, Tamil",15.0,1,68
HOSP_0094,Delhi,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,250,2660,2910,40,4.0,22,"English, Hindi",21.7,0,66
HOSP_0095,Bangalore,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,250,2694,2944,31,4.4,29,"English, Kannada",22.9,1,84
HOSP_0096,Vijayawada,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,800,2179,2979,47,4.0,13,"English, Telugu",0.8,1,66
HOSP_0097,Chennai,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,200,988,1188,34,4.1,10,"English, Hindi",7.8,1,89
HOSP_0098,Bangalore,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,300,2379,2679,44,3.8,15,"English, Hindi, Telugu",12.1,1,77
HOSP_0099,Vijayawada,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,300,3357,3657,80,4.3,19,"English, Telugu",12.7,1,63
HOSP_0100,Hyderabad,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,300,1099,1399,24,3.9,16,"English, Telugu",10.5,1,87
HOSP_0101,Kadapa,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,800,3379,4179,79,4.3,5,"English, Tamil",12.9,1,96
HOSP_0102,Bangalore,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,200,3354,3554,22,3.6,26,"English, Tamil",24.1,0,80
HOSP_0103,Kadapa,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,250,1074,1324,47,3.8,21,"English, Hindi, Telugu",22.0,1,77
HOSP_0104,Delhi,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,800,2239,3039,25,3.9,4,"English, Tamil",15.0,1,64
HOSP_0105,Vijayawada,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,1000,1204,2204,67,3.9,22,"English, Telugu",19.2,1,69
HOSP_0106,Vijayawada,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,200,3486,3686,28,4.6,4,"English, Hindi, Telugu",10.4,1,81
HOSP_0107,Vijayawada,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,500,3013,3513,72,4.9,4,"English, Hindi, Telugu",1.0,0,80
HOSP_0108,Chennai,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,200,3281,3481,48,4.3,27,"English, Telugu",18.1,1,81
HOSP_0109,Bangalore,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,200,945,1145,54,3.9,15,"English, Hindi",12.6,1,76
HOSP_0110,Hyderabad,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,500,1001,1501,60,3.6,24,"English, Tamil",5.0,1,85
HOSP_0111,Hyderabad,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,300,1619,1919,25,4.0,19,"English, Tamil",7.8,1,93
HOSP_0112,Delhi,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,250,1050,1300,34,3.7,22,"English, Tamil",21.2,0,93
HOSP_0113,Mumbai,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,250,1824,2074,87,3.6,19,"English, Hindi",12.6,1,84
HOSP_0114,Bangalore,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,250,1552,1802,58,5.0,8,"English, Telugu",3.0,1,76
HOSP_0115,Delhi,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,200,311,511,76,4.9,21,"English, Hindi, Telugu",19.1,1,75
HOSP_0116,Mumbai,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,200,1591,1791,29,4.5,11,"English, Hindi, Telugu",16.9,1,75
HOSP_0117,Kadapa,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,250,3328,3578,21,3.6,23,"English, Hindi",5.2,1,82
HOSP_0118,Mumbai,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,1000,2719,3719,53,4.2,29,"English, Telugu",16.3,1,83
HOSP_0119,Chennai,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,500,1421,1921,17,4.5,10,"English, Telugu",18.3,1,74
HOSP_0120,Chennai,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,800,3329,4129,39,4.6,3,"English, Hindi, Telugu",15.6,1,94
HOSP_0121,Mumbai,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,1000,550,1550,27,4.3,5,"English, Tamil",24.9,1,88
HOSP_0122,Chennai,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,200,571,771,70,3.9,27,"English, Telugu",2.7,1,79
HOSP_0123,Delhi,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,1000,2350,3350,59,4.0,20,"English, Kannada",18.0,1,60
HOSP_0124,Vijayawada,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,200,698,898,63,4.1,6,"English, Kannada",23.9,1,96
HOSP_0125,Chennai,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,1000,1106,2106,70,4.8,26,"English, Tamil",22.6,0,66
HOSP_0126,Chennai,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,300,1907,2207,34,4.8,24,"English, Hindi, Telugu",20.9,1,93
HOSP_0127,Mumbai,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,200,3100,3300,17,4.7,7,"English, Hindi, Telugu",15.9,1,68
HOSP_0128,Chennai,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,250,2076,2326,75,3.9,5,"English, Telugu",12.5,0,62
HOSP_0129,Vijayawada,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,800,3491,4291,87,4.8,7,"English, Telugu",11.7,1,87
HOSP_0130,Delhi,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,300,1220,1520,56,4.7,10,"English, Hindi",14.0,1,83
HOSP_0131,Kadapa,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,1000,2675,3675,19,3.6,20,"English, Hindi, Telugu",5.9,1,64
HOSP_0132,Delhi,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,250,3411,3661,59,4.2,21,"English, Telugu",14.5,1,99
HOSP_0133,Hyderabad,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,800,1612,2412,20,4.3,18,"English, Kannada",21.3,0,72
HOSP_0134,Hyderabad,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,200,2016,2216,56,3.7,29,"English, Kannada",4.4,0,90
HOSP_0135,Mumbai,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,300,1874,2174,45,3.5,4,"English, Hindi, Telugu",12.9,1,91
HOSP_0136,Vijayawada,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,300,1436,1736,31,3.7,4,"English, Kannada",0.7,0,65
HOSP_0137,Vijayawada,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,250,1556,1806,77,4.1,17,"English, Hindi, Telugu",3.0,0,91
HOSP_0138,Mumbai,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,500,1030,1530,78,4.6,24,"English, Hindi",14.8,1,85
HOSP_0139,Mumbai,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,250,1003,1253,61,5.0,6,"English, Tamil",3.7,1,66
HOSP_0140,Bangalore,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,200,3226,3426,46,4.7,28,"English, Telugu",4.4,1,63
HOSP_0141,Bangalore,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,800,338,1138,29,4.7,13,"English, Kannada",21.1,1,79
HOSP_0142,Bangalore,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,300,3196,3496,70,4.1,23,"English, Hindi, Telugu",16.1,1,64
HOSP_0143,Bangalore,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,200,869,1069,52,3.8,5,"English, Hindi",16.5,1,74
HOSP_0144,Bangalore,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,500,2777,3277,31,3.6,10,"English, Tamil",21.2,1,62
HOSP_0145,Chennai,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,800,1859,2659,74,5.0,22,"English, Hindi",0.5,1,79
HOSP_0146,Delhi,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,1000,1316,2316,74,3.6,24,"English, Hindi, Telugu",7.1,1,70
HOSP_0147,Delhi,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,800,573,1373,78,4.1,17,"English, Tamil",17.5,0,97
HOSP_0148,Bangalore,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,1000,1411,2411,55,3.9,27,"English, Kannada",17.7,1,91
HOSP_0149,Chennai,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,200,301,501,47,4.8,3,"English, Hindi, Telugu",2.4,1,61
HOSP_0150,Vijayawada,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,250,442,692,58,3.7,13,"English, Hindi, Telugu",17.8,1,65
HOSP_0151,Kadapa,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,200,1015,1215,22,4.9,22,"English, Tamil",12.4,1,75
HOSP_0152,Vijayawada,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,250,321,571,40,4.2,11,"English, Kannada",18.4,1,71
HOSP_0153,Hyderabad,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,200,1624,1824,33,5.0,6,"English, Hindi, Telugu",5.0,1,91
HOSP_0154,Chennai,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,250,2289,2539,32,4.5,7,"English, Hindi",12.6,1,94
HOSP_0155,Hyderabad,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,1000,2282,3282,21,4.2,23,"English, Telugu",18.7,1,63
HOSP_0156,Chennai,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,1000,2879,3879,74,3.6,19,"English, Tamil",14.7,1,93
HOSP_0157,Mumbai,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,250,3279,3529,20,4.5,21,"English, Tamil",7.5,1,62
HOSP_0158,Mumbai,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,800,3258,4058,40,4.6,18,"English, Telugu",6.3,0,96
HOSP_0159,Vijayawada,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,800,852,1652,76,3.6,17,"English, Hindi",16.7,1,76
HOSP_0160,Delhi,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,200,327,527,80,4.8,7,"English, Hindi",19.5,1,82
HOSP_0161,Mumbai,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,300,929,1229,28,4.0,12,"English, Kannada",20.8,1,79
HOSP_0162,Chennai,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,200,2660,2860,78,4.0,27,"English, Tamil",18.5,1,96
HOSP_0163,Delhi,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,500,2147,2647,42,4.8,8,"English, Kannada",13.7,1,73
HOSP_0164,Delhi,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,800,1343,2143,40,3.6,25,"English, Tamil",11.6,0,64
HOSP_0165,Delhi,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,300,1529,1829,26,3.7,23,"English, Telugu",24.1,1,93
HOSP_0166,Mumbai,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,800,1508,2308,53,4.2,17,"English, Tamil",12.5,1,79
HOSP_0167,Chennai,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,250,3093,3343,22,5.0,3,"English, Hindi, Telugu",11.4,0,81
HOSP_0168,Delhi,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,250,2774,3024,88,3.5,20,"English, Hindi",20.9,0,71
HOSP_0169,Delhi,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,1000,2287,3287,47,4.4,18,"English, Hindi, Telugu",16.8,1,87
HOSP_0170,Mumbai,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,1000,874,1874,87,4.8,27,"English, Hindi, Telugu",19.7,1,70
